ScientificName
Triosteum perfoliatum
Valeriana edulis
Valeriana officinalis
Valeriana pauciflora
Valeriana uliginosa
Valerianella chenopodiifolia
Valerianella locusta
Valerianella radiata
Valerianella umbilicata
Agrostemma githago
Arenaria serpyllifolia
Cerastium arvense
Cerastium brachypetalum
Cerastium brachypodum
Cerastium dubium
Cerastium fontanum
Cerastium glomeratum
Cerastium nutans
Cerastium pumilum
Cerastium semidecandrum
Cerastium tomentosum
Cerastium velutinum
Dianthus armeria
Dianthus barbatus
Dianthus plumarius
Gypsophila paniculata
Gypsophila scorzonerifolia
Holosteum umbellatum
Minuartia michauxii
Minuartia patula
Moehringia lateriflora
Myosoton aquaticum
Paronychia canadensis
Paronychia fastigiata
Sagina decumbens
Saponaria officinalis
Scleranthus annuus
Silene antirrhina
Silene armeria
Silene chlorantha
Silene coronaria
Silene csereii
Silene dichotoma
Silene latifolia
Silene nivea
Silene noctiflora
Silene ovata
Silene regia
Silene stellata
Silene virginica
Silene vulgaris
Spergula arvensis
Spergularia marina
Spergularia media
Spergularia rubra
Stellaria corei
Stellaria graminea
Stellaria longifolia
Stellaria media
Stellaria pallida
Stellaria pubera
Vaccaria hispanica
Celastrus orbiculatus
Celastrus scandens
Euonymus alatus
Euonymus americanus
Euonymus atropurpureus
Euonymus europaeus
Euonymus fortunei
Euonymus hamiltonianus
Euonymus japonicus
Euonymus obovatus
Parnassia glauca
Ceratophyllum demersum
Ceratophyllum echinatum
Crocanthemum bicknellii
Crocanthemum canadense
Hudsonia tomentosa
Lechea minor
Lechea mucronata
Lechea pulchella
Lechea racemulosa
Lechea stricta
Lechea tenuifolia
Peritoma serrulata
Polanisia dodecandra
Polanisia jamesii
Tarenaya hassleriana
Uvularia grandiflora
Uvularia perfoliata
Uvularia sessilifolia
Commelina communis
Commelina diffusa
Commelina erecta
Commelina virginica
Tradescantia bracteata
Tradescantia ohiensis
Tradescantia subaspera
Tradescantia virginiana
Calystegia catesbeiana
Calystegia pubescens
Calystegia sepium
Calystegia silvatica
Calystegia spithamaea
Convolvulus arvensis
Cuscuta campestris
Cuscuta cephalanthi
Cuscuta compacta
Cuscuta coryli
Cuscuta cuspidata
Cuscuta glomerata
Cuscuta gronovii
Cuscuta pentagona
Cuscuta polygonorum
Ipomoea coccinea
Ipomoea hederacea
Ipomoea lacunosa
Ipomoea pandurata
Ipomoea purpurea
Cornus alternifolia
Cornus amomum
Cornus canadensis
Cornus drummondii
Cornus florida
Cornus foemina
Cornus obliqua
Cornus racemosa
Cornus rugosa
Cornus sericea
Hylotelephium erythrostictum
Hylotelephium telephioides
Hylotelephium telephium
Phedimus spurius
Sedum acre
Sedum album
Sedum pulchellum
Sedum sarmentosum
Sedum sexangulare
Sedum ternatum
Sempervivum tectorum
Citrullus lanatus
Cucumis metuliferus
Cucurbita foetidissima
Echinocystis lobata
Melothria pendula
Sicyos angulatus
Juniperus communis
Juniperus virginiana
Taxodium distichum
Thuja occidentalis
Bolboschoenus fluviatilis
Bolboschoenus maritimus
Bulbostylis capillaris
Carex acutiformis
Carex aggregata
Carex alata
Carex albicans
Carex albolutescens
Carex albursina
Carex alopecoidea
Carex amphibola
Carex annectens
Carex aquatilis
Carex arctata
Carex atherodes
Carex atlantica
Carex aurea
Carex aureolensis
Carex bebbii
Carex bicknellii
Carex blanda
Carex brevior
Carex bromoides
Carex brunnescens
Carex bushii
Carex buxbaumii
Carex canescens
Carex careyana
Carex caroliniana
Carex cephaloidea
Carex cephalophora
Carex chordorrhiza
Carex communis
Carex comosa
Carex conjuncta
Carex conoidea
Carex corrugata
Carex crawei
Carex crawfordii
Carex crinita
Carex cristatella
Carex crus-corvi
Carex cryptolepis
Carex cumberlandensis
Carex cumulata
Carex davisii
Carex debilis
Carex decomposita
Carex diandra
Carex digitalis
Carex disperma
Carex eburnea
Carex echinata
Carex echinodes
Carex emoryi
Carex festucacea
Carex flava
Carex folliculata
Carex frankii
Carex garberi
Carex gigantea
Carex glaucodea
Carex gracilescens
Carex gracillima
Carex granularis
Carex gravida
Carex grayi
Carex grisea
Carex haydenii
Carex hirsutella
Carex hirtifolia
Carex hitchcockiana
Carex hyalinolepis
Carex hystericina
Carex inops
Carex interior
Carex intumescens
Carex jamesii
Carex kraliana
Carex lacustris
Carex laevivaginata
Carex lasiocarpa
Carex laxiculmis
Carex laxiflora
Carex leavenworthii
Carex leptalea
Carex leptonervia
Carex limosa
Carex livida
Carex longii
Carex louisianica
Carex lupuliformis
Carex lupulina
Carex lurida
Carex meadii
Carex mesochorea
Carex missouriensis
Carex molesta
Carex muehlenbergii
Carex muskingumensis
Carex normalis
Carex oklahomensis
Carex oligocarpa
Carex oligosperma
Carex pedunculata
Carex pellita
Carex pensylvanica
Carex picta
Carex planispicata
Carex plantaginea
Carex platyphylla
Carex praegracilis
Carex prairea
Carex prasina
Carex projecta
Carex pseudocyperus
Carex radiata
Carex retroflexa
Carex retrorsa
Carex richardsonii
Carex rosea
Carex sartwellii
Carex scabrata
Carex scoparia
Carex seorsa
Carex shortiana
Carex siccata
Carex socialis
Carex sparganioides
Carex spicata
Carex sprengelii
Carex squarrosa
Carex sterilis
Carex stipata
Carex straminea
Carex stricta
Carex suberecta
Carex swanii
Carex tenera
Carex tetanica
Carex texensis
Carex timida
Carex tonsa
Carex torta
Carex tribuloides
Carex trichocarpa
Carex trisperma
Carex tuckermanii
Carex typhina
Carex umbellata
Carex utriculata
Carex vesicaria
Carex virescens
Carex viridistellata
Carex viridula
Carex vulpinoidea
Carex willdenowii
Carex woodii
Cladium mariscoides
Cyperus acuminatus
Cyperus bipartitus
Cyperus compressus
Cyperus dentatus
Cyperus diandrus
Cyperus difformis
Cyperus echinatus
Cyperus erythrorhizos
Cyperus esculentus
Cyperus flavescens
Cyperus fuscus
Cyperus houghtonii
Cyperus iria
Cyperus lupulinus
Cyperus microiria
Cyperus nipponicus
Cyperus odoratus
Cyperus pseudovegetus
Cyperus schweinitzii
Cyperus squarrosus
Cyperus strigosus
Dulichium arundinaceum
Eleocharis acicularis
Eleocharis bifida
Eleocharis compressa
Eleocharis elliptica
Eleocharis engelmannii
Eleocharis equisetoides
Eleocharis erythropoda
Eleocharis flavescens
Eleocharis geniculata
Eleocharis intermedia
Eleocharis melanocarpa
Eleocharis microcarpa
Eleocharis obtusa
Eleocharis ovata
Eleocharis palustris
Eleocharis parvula
Eleocharis quadrangulata
Eleocharis quinqueflora
Eleocharis robbinsii
Eleocharis rostellata
Eleocharis verrucosa
Eleocharis wolfii
Eriophorum angustifolium
Eriophorum gracile
Eriophorum vaginatum
Eriophorum virginicum
Eriophorum viridicarinatum
Fimbristylis annua
Fimbristylis autumnalis
Fimbristylis puberula
Fuirena pumila
Kyllinga gracillima
Kyllinga pumila
Lipocarpha drummondii
Lipocarpha micrantha
Rhynchospora alba
Rhynchospora capillacea
Rhynchospora capitellata
Rhynchospora corniculata
Rhynchospora globularis
Rhynchospora macrostachya
Rhynchospora nitens
Rhynchospora recognita
Rhynchospora scirpoides
Schoenoplectiella hallii
Schoenoplectiella mucronata
Schoenoplectiella purshiana
Schoenoplectiella smithii
Schoenoplectus acutus
Schoenoplectus deltarum
Schoenoplectus pungens
Schoenoplectus subterminalis
Schoenoplectus tabernaemontani
Schoenoplectus torreyi
Scirpus atrovirens
Scirpus cyperinus
Scirpus expansus
Scirpus georgianus
Scirpus hattorianus
Scirpus pedicellatus
Scirpus pendulus
Scirpus polyphyllus
Scleria muehlenbergii
Scleria oligantha
Scleria pauciflora
Scleria reticularis
Scleria triglomerata
Scleria verticillata
Cystopteris bulbifera
Cystopteris protrusa
Cystopteris tenuis
Dennstaedtia punctilobula
Pteridium aquilinum
Dioscorea polystachya
Dioscorea villosa
Drosera intermedia
Drosera rotundifolia
Cyrtomium fortunei
Dryopteris carthusiana
Dryopteris celsa
Dryopteris clintoniana
Dryopteris cristata
Dryopteris goldiana
